dataset,min value,max value,mean values,stdev,gap,mean time
instance_0001,13.0,15.0,14.8,0.6102571532587293,1.3333333333333286,1.719860420433334
instance_0002,2.0,2.0,2.0,0.0,0.0,0.4210040666333318
instance_0003,8.166666666666666,12.0,10.407261904761905,0.8185328303000056,13.272817460317462,1.9562058071333321
instance_0004,1.9047619047619047,2.857142857142857,2.566312739548034,0.25841911415227853,26.676778870056175,1.2243626669666667
instance_0005,152.16666666666666,160.9,156.26214117203247,1.9524214761408232,12.153057582621726,22.93495940006666
instance_0006,424.85714285714283,648.0,478.3615873015873,52.13205413930156,30.77256334275148,60.975780266733366
instance_0007,301.1111111111111,389.25,345.2700925925926,24.485895288162695,11.977031843825973,48.420834063166666
instance_0008,142.05263157894737,161.8125,153.5627085483316,4.927012586053126,5.755057967146424,17.169382350699866
instance_0009,2.0833333333333335,2.6315789473684212,2.3473317293281393,0.12274242114846962,46.89294730026834,4.239049827700001
instance_0010,13.724409448818898,14.487394957983193,14.099090626108566,0.20362433407351047,17.597366299774595,16.62956529840006
instance_0011,11.845161290322581,12.649006622516556,12.285274754214042,0.17927541408527847,27.090357541756436,13.575552842499958
instance_0012,2.6666666666666665,3.3846153846153846,3.0210904383169197,0.14851959157565553,73.14586277051626,5.013781251933263
instance_0013,56.50704225352113,61.0,58.4692020067577,1.155432383295318,50.18810529327168,55.1991799654668
instance_0014,84.97435897435898,92.38095238095238,87.74061607555207,1.8525726699945133,51.69532257456944,106.28444019230007
instance_0015,55.50769230769231,62.55769230769231,58.398553873230355,1.7745685073596205,60.892952606153926,47.09984839773321
instance_0016,81.5,85.0,84.33333333333333,1.2410599844719317,0.7843137254902016,5.740535609233333
instance_0017,35.0,36.5,36.4,0.38056219755369364,0.2739726027397299,2.7457709565333346
instance_0018,113.2,117.2,116.8,0.9021048184375684,0.3412969283276499,13.141815834533332
instance_0019,163.0,202.0,188.1,14.523108815097833,6.881188118811884,11.900898565633337
instance_0020,5.0,5.0,5.0,0.0,0.0,0.09721403870000055
